cell_id,time_sec,F340_F380_ratio
cell_01,58.0,1.1799
cell_01,58.5,1.1381
cell_01,59.0,1.1768
cell_01,59.5,1.1135
cell_01,60.0,1.1462
cell_01,60.5,1.1714
cell_01,61.0,1.1012
cell_01,61.5,1.1033
cell_01,62.0,1.1103
cell_01,62.5,1.0922
cell_01,63.0,1.0655
cell_01,63.5,1.0922
cell_01,64.0,1.0641
cell_01,64.5,1.0895
cell_01,65.0,1.0564
cell_01,65.5,1.1008
cell_01,66.0,1.0493
cell_01,66.5,1.0538
cell_01,67.0,1.072
cell_01,67.5,1.0267
cell_01,68.0,1.0516
cell_01,68.5,1.069
cell_01,69.0,1.0067
cell_01,69.5,1.0387
cell_01,70.0,1.0364
cell_01,70.5,1.0432
cell_01,71.0,0.9992
cell_01,71.5,0.9941
cell_01,72.0,1.0277
cell_01,72.5,1.0199
cell_01,73.0,1.0159
cell_01,73.5,1.0148
cell_01,74.0,0.9913
cell_01,74.5,1.0067
cell_01,75.0,1.0051
cell_01,75.5,0.9823
cell_01,76.0,1.0313
cell_01,76.5,1.001
cell_01,77.0,0.9652
cell_01,77.5,0.9998
cell_01,78.0,0.9649
cell_01,78.5,0.9979
cell_01,79.0,1.0032
cell_01,79.5,0.9615
cell_01,80.0,0.9952
cell_01,80.5,0.9822
cell_01,81.0,0.9885
cell_01,81.5,1.0082
cell_01,82.0,0.9636
cell_01,82.5,0.9517
cell_01,83.0,0.9494
cell_01,83.5,0.9471
cell_01,84.0,0.9603
cell_01,84.5,0.9672
cell_01,85.0,0.9705999999999999
cell_01,85.5,0.974
cell_01,86.0,0.9563
cell_01,86.5,0.9838
cell_01,87.0,0.9481
cell_01,87.5,1.0065
cell_01,88.0,0.9634
cell_01,88.5,0.9326
cell_01,89.0,0.9271
cell_01,89.5,0.9571
cell_01,90.0,0.9419
cell_01,90.5,0.9596
cell_01,91.0,0.9538
cell_01,91.5,0.9419
cell_01,92.0,0.9254
cell_01,92.5,0.9112
cell_01,93.0,0.9316
cell_01,93.5,0.9568
cell_01,94.0,0.9431
cell_01,94.5,0.9131
cell_01,95.0,0.9407
cell_01,95.5,0.9442
cell_01,96.0,0.9181
cell_01,96.5,0.9381
cell_01,97.0,0.9355
cell_01,97.5,0.9108
cell_01,98.0,0.9401
cell_01,98.5,0.9436
cell_01,99.0,0.9534
cell_01,99.5,0.9522
cell_02,0.0,0.8811
cell_02,0.5,0.909
cell_02,1.0,0.8914
cell_02,1.5,0.8946
cell_02,2.0,0.8624
cell_02,2.5,0.822
cell_02,3.0,0.9118
cell_02,3.5,0.9322
cell_02,4.0,0.8824
cell_02,4.5,0.8943
cell_02,5.0,0.8958
cell_02,5.5,0.9228
cell_02,6.0,0.9071
cell_02,6.5,0.8992
cell_02,7.0,0.8904
cell_02,7.5,0.8905
cell_02,8.0,0.8605
cell_02,8.5,0.8816
cell_02,9.0,0.907
cell_02,9.5,0.8846
cell_02,10.0,0.8902
cell_02,10.5,0.8658
cell_02,11.0,0.8982
cell_02,11.5,0.8601
cell_02,12.0,0.8951
cell_02,12.5,0.8855
cell_02,13.0,0.8544
cell_02,13.5,0.9107
cell_02,14.0,0.886
cell_02,14.5,0.9265
cell_02,15.0,0.9189
cell_02,15.5,0.8717
cell_02,16.0,0.8735
cell_02,16.5,0.8659
cell_02,17.0,0.8576
cell_02,17.5,0.8808
cell_02,18.0,0.9182
cell_02,18.5,0.851
cell_02,19.0,0.9063
cell_02,19.5,0.9047
cell_02,20.0,0.9004
cell_02,20.5,0.904
cell_02,21.0,0.8672
cell_02,21.5,0.9045
cell_02,22.0,0.8783
cell_02,22.5,0.8401
cell_02,23.0,0.8904
cell_02,23.5,0.8724
cell_02,24.0,0.9165
cell_02,24.5,0.8836
cell_02,25.0,0.8902
cell_02,25.5,0.8971
cell_02,26.0,0.8839
cell_02,26.5,0.8872
cell_02,27.0,0.9062
cell_02,27.5,0.8907499999999999
cell_02,28.0,0.8753
cell_02,28.5,0.8699
cell_02,29.0,0.918
cell_02,29.5,0.8753
cell_02,30.0,0.8864
cell_02,30.5,1.0315
cell_02,31.0,1.1441
cell_02,31.5,1.2084
cell_02,32.0,1.281
cell_02,32.5,1.2822
cell_02,33.0,1.295
cell_02,33.5,1.321
cell_02,34.0,1.3202
cell_02,34.5,1.309
cell_02,35.0,1.3258
cell_02,35.5,1.2935
cell_02,36.0,1.3543
cell_02,36.5,1.2819
cell_02,37.0,1.2903
cell_02,37.5,1.2862
cell_02,38.0,1.3188
cell_02,38.5,1.2413
cell_02,39.0,1.2695
cell_02,39.5,1.2783
cell_02,40.0,1.2424
cell_02,40.5,1.2163
cell_02,41.0,1.2289
cell_02,41.5,1.2531
cell_02,42.0,1.2019
cell_02,42.5,1.2348
cell_02,43.0,1.2033
cell_02,43.5,1.215
cell_02,44.0,1.1872
cell_02,44.5,1.1657
cell_02,45.0,1.201
cell_02,45.5,1.1657
cell_02,46.0,1.1577
cell_02,46.5,1.1638
cell_02,47.0,1.1596
cell_02,47.5,1.1511
cell_02,48.0,1.1016
cell_02,48.5,1.1098
cell_02,49.0,1.1036
cell_02,49.5,1.0954
cell_02,50.0,1.0879
cell_02,50.5,1.0946500000000001
cell_02,51.0,1.1014
cell_02,51.5,1.0993
cell_02,52.0,1.0844
cell_02,52.5,1.071
cell_02,53.0,1.1002
cell_02,53.5,1.0682
cell_02,54.0,1.0842
cell_02,54.5,1.0496
cell_02,55.0,1.065
cell_02,55.5,1.0793
cell_02,56.0,0.9962
cell_02,56.5,1.0313
cell_02,57.0,1.0523
cell_02,57.5,1.0609
cell_02,58.0,1.037
cell_02,58.5,1.0303
cell_02,59.0,1.058
cell_02,59.5,1.0478
cell_02,60.0,1.0016
cell_02,60.5,1.018
cell_02,61.0,1.0197
cell_02,61.5,1.0438
cell_02,62.0,1.0237
cell_02,62.5,1.0014
cell_02,63.0,1.005
cell_02,63.5,0.9601
cell_02,64.0,1.0144
cell_02,64.5,1.0053
cell_02,65.0,1.014
cell_02,65.5,0.9843
cell_02,66.0,0.9873
cell_02,66.5,0.9727
cell_02,67.0,0.957
cell_02,67.5,0.9657
cell_02,68.0,0.9391
cell_02,68.5,0.9916
cell_02,69.0,0.9277
cell_02,69.5,1.0098
cell_02,70.0,0.9318
cell_02,70.5,0.9952
cell_02,71.0,0.9451
cell_02,71.5,0.9726
cell_02,72.0,0.9445
cell_02,72.5,0.9913
cell_02,73.0,0.9569
cell_02,73.5,0.9759
cell_02,74.0,0.9543
cell_02,74.5,0.9582
cell_02,75.0,0.9619
cell_02,75.5,0.9375
cell_02,76.0,0.921
cell_02,76.5,0.9191
cell_02,77.0,0.9448
cell_02,77.5,0.9326
cell_02,78.0,0.8981
cell_02,78.5,0.95
cell_02,79.0,0.9141
cell_02,79.5,0.914
cell_02,80.0,0.9352
cell_02,80.5,0.9168
cell_02,81.0,0.9361
cell_02,81.5,0.972
cell_02,82.0,0.9239
cell_02,82.5,0.9092
cell_02,83.0,0.933
cell_02,83.5,0.9129
cell_02,84.0,0.9278
cell_02,84.5,0.9327
cell_02,85.0,0.9248
cell_02,85.5,0.9257
cell_02,86.0,0.9275
cell_02,86.5,0.9548
cell_02,87.0,0.9169
cell_02,87.5,0.9237
cell_02,88.0,0.9377
cell_02,88.5,0.929
cell_02,89.0,0.9116
cell_02,89.5,0.9361
cell_02,90.0,0.8999
cell_02,90.5,0.9121
cell_02,91.0,0.9005
cell_02,91.5,0.9268
cell_02,92.0,0.9384
cell_02,92.5,0.9184
cell_02,93.0,0.9148
cell_02,93.5,0.8952
cell_02,94.0,0.8981
cell_02,94.5,0.8877
cell_02,95.0,0.8675
cell_02,95.5,0.9026
cell_02,96.0,0.904
cell_02,96.5,0.9529
cell_02,97.0,0.9402
cell_02,97.5,0.9195
cell_02,98.0,0.9496
cell_02,98.5,0.9353
cell_02,99.0,0.8668
cell_02,99.5,0.9279
cell_03,0.0,0.8458
cell_03,0.5,0.8458
cell_03,1.0,0.8297
cell_03,1.5,0.8678
cell_03,2.0,0.8292
cell_03,2.5,0.8318
cell_03,3.0,0.8501
cell_03,3.5,0.8339
cell_03,4.0,0.817
cell_03,4.5,0.8197
cell_03,5.0,0.8525
cell_03,5.5,0.8146
cell_03,6.0,0.8697
cell_03,6.5,0.8279
cell_03,7.0,0.8541
cell_03,7.5,0.8291
cell_03,8.0,0.8234
cell_03,8.5,0.8467
cell_03,9.0,0.8628
cell_03,9.5,0.8368
cell_03,10.0,0.8404
cell_03,10.5,0.8579
cell_03,11.0,0.8585
cell_03,11.5,0.841
cell_03,12.0,0.8329
cell_03,12.5,0.8434
cell_03,13.0,0.8379
cell_03,13.5,0.848
cell_03,14.0,0.8178
cell_03,14.5,0.8473
cell_03,15.0,0.8274
cell_03,15.5,0.8599
cell_03,16.0,0.8283
cell_03,16.5,0.8286
cell_03,17.0,0.8506
cell_03,17.5,0.842
cell_03,18.0,0.8873
cell_03,18.5,0.8091
cell_03,19.0,0.8439
cell_03,19.5,0.8643
cell_03,20.0,0.8302
cell_03,20.5,0.8235
cell_03,21.0,0.8243
cell_03,21.5,0.8095
cell_03,22.0,0.8687
cell_03,22.5,0.8351
cell_03,23.0,0.8328
cell_03,23.5,0.7993
cell_03,24.0,0.8131
cell_03,24.5,0.871
cell_03,25.0,0.8478
cell_03,25.5,0.8651
cell_03,26.0,0.8433999999999999
cell_03,26.5,0.8217
cell_03,27.0,0.8903
cell_03,27.5,0.8807
cell_03,28.0,0.8305
cell_03,28.5,0.7704
cell_03,29.0,0.8346
cell_03,29.5,0.8465
cell_03,30.0,0.8304
cell_03,30.5,0.9589
cell_03,31.0,1.0368
cell_03,31.5,1.1377
cell_03,32.0,1.1679
cell_03,32.5,1.2189
cell_03,33.0,1.2468
cell_03,33.5,1.1932
cell_03,34.0,1.2293
cell_03,34.5,1.2356
cell_03,35.0,1.2994
cell_03,35.5,1.2481
cell_03,36.0,1.2567
cell_03,36.5,1.1966
cell_03,37.0,1.2299
cell_03,37.5,1.2387
cell_03,38.0,1.2279
cell_03,38.5,1.2145
cell_03,39.0,1.1934
cell_03,39.5,1.1854
cell_03,40.0,1.1413
cell_03,40.5,1.1483
cell_03,41.0,1.1622
cell_03,41.5,1.1346
cell_03,42.0,1.1542
cell_03,42.5,1.1414
cell_03,43.0,1.1513
cell_03,43.5,1.1352
cell_03,44.0,1.1129
cell_03,44.5,1.1158
cell_03,45.0,1.1136
cell_03,45.5,1.0762
cell_03,46.0,1.0728
cell_03,46.5,1.0707
cell_03,47.0,1.0565
cell_03,47.5,1.08
cell_03,48.0,1.0409
cell_03,48.5,1.0724
cell_03,49.0,1.0342
cell_03,49.5,1.0453
cell_03,50.0,1.0336
cell_03,50.5,1.0054
cell_03,51.0,1.0193
cell_03,51.5,1.0213
cell_03,52.0,1.0084
cell_03,52.5,0.978
cell_03,53.0,1.0343
cell_03,53.5,0.9975
cell_03,54.0,0.9754
cell_03,54.5,1.0195
cell_03,55.0,0.9952
cell_03,55.5,0.9549
cell_03,56.0,0.9541
cell_03,56.5,0.9667
cell_03,57.0,0.9734
cell_03,57.5,0.9763
cell_03,58.0,0.9794
cell_03,58.5,0.9678
cell_03,59.0,0.9806
cell_03,59.5,0.953
cell_03,60.0,0.9322
cell_03,60.5,0.9443
cell_03,61.0,0.9401
cell_03,61.5,0.887
cell_03,62.0,0.9246
cell_03,62.5,0.9394
cell_03,63.0,0.9221
cell_03,63.5,0.9151
cell_03,64.0,0.9438
cell_03,64.5,0.9048
cell_03,65.0,0.9351
cell_03,65.5,0.8919
cell_03,66.0,0.9716
cell_03,66.5,0.9099
cell_03,67.0,0.9057
cell_03,67.5,0.933
cell_03,68.0,0.8998
cell_03,68.5,0.9354
cell_03,69.0,0.9119
cell_03,69.5,0.9003
cell_03,70.0,0.8964
cell_03,70.5,0.9234
cell_03,71.0,0.9022
cell_03,71.5,0.90375
cell_03,72.0,0.9053
cell_03,72.5,0.8956
cell_03,73.0,0.9019
cell_03,73.5,0.8877
cell_03,74.0,0.8877
cell_03,74.5,0.865
cell_03,75.0,0.892
cell_03,75.5,0.8504
cell_03,76.0,0.8892
cell_03,76.5,0.8767
cell_03,77.0,0.8887
cell_03,77.5,0.8591
cell_03,78.0,0.865
cell_03,78.5,0.8709
cell_03,79.0,0.856
cell_03,79.5,0.8403
cell_03,80.0,0.8903
cell_03,80.5,0.906
cell_03,81.0,0.8571
cell_03,81.5,0.8706
cell_03,82.0,0.8651
cell_03,82.5,0.8573
cell_03,83.0,0.8829
cell_03,83.5,0.889
cell_03,84.0,0.8507
cell_03,84.5,0.8682
cell_03,85.0,0.8923
cell_03,85.5,0.8796
cell_03,86.0,0.8819
cell_03,86.5,0.8919
cell_03,87.0,0.8909
cell_03,87.5,0.8838
cell_03,88.0,0.8655
cell_03,88.5,0.8544
cell_03,89.0,0.8635
cell_03,89.5,0.8502
cell_03,90.0,0.8213
cell_03,90.5,0.8542
cell_03,91.0,0.8664
cell_03,91.5,0.847
cell_03,92.0,0.8544
cell_03,92.5,0.8547
cell_03,93.0,0.8845
cell_03,93.5,0.8497
cell_03,94.0,0.8836
cell_03,94.5,0.8831
cell_03,95.0,0.8826
cell_03,95.5,0.8812
cell_03,96.0,0.8729
cell_03,96.5,0.8142
cell_03,97.0,0.8745
cell_03,97.5,0.8528
cell_03,98.0,0.8028
cell_03,98.5,0.8791
cell_03,99.0,0.8817
cell_03,99.5,0.8144
cell_04,0.0,0.9142
cell_04,0.5,0.8598
cell_04,1.0,0.8791
cell_04,1.5,0.8978
cell_04,2.0,0.9216
cell_04,2.5,0.889
cell_04,3.0,0.8792
cell_04,3.5,0.9279
cell_04,4.0,0.8613
cell_04,4.5,0.8463
cell_04,5.0,0.8991
cell_04,5.5,0.8802
cell_04,6.0,0.8699
cell_04,6.5,0.9045
cell_04,7.0,0.8952
cell_04,7.5,0.879
cell_04,8.0,0.8647
cell_04,8.5,0.9077
cell_04,9.0,0.9033
cell_04,9.5,0.8883
cell_04,10.0,0.9272
cell_04,10.5,0.8689
cell_04,11.0,0.8598
cell_04,11.5,0.8765
cell_04,12.0,0.8894
cell_04,12.5,0.8952
cell_04,13.0,0.8855
cell_04,13.5,0.8973
cell_04,14.0,0.8653
cell_04,14.5,0.9192
cell_04,15.0,0.8886
cell_04,15.5,0.8928499999999999
cell_04,16.0,0.8971
cell_04,16.5,0.8994
cell_04,17.0,0.9017
cell_04,17.5,0.8992
cell_04,18.0,0.9031
cell_04,18.5,0.9169
cell_04,19.0,0.8942
cell_04,19.5,0.9045
cell_04,20.0,0.8885
cell_04,20.5,0.9191
cell_04,21.0,0.8768
cell_04,21.5,0.9263
cell_04,22.0,0.8895
cell_04,22.5,0.8617
cell_04,23.0,0.8929
cell_04,23.5,0.8767
cell_04,24.0,0.9071
cell_04,24.5,0.8772
cell_04,25.0,0.8814
cell_04,25.5,0.8525
cell_04,26.0,0.8812
cell_04,26.5,0.8418
cell_04,27.0,0.87365
cell_04,27.5,0.9055
cell_04,28.0,0.906
cell_04,28.5,0.8988
cell_04,29.0,0.8709
cell_04,29.5,0.8893
cell_04,30.0,0.8902
cell_04,30.5,1.1703
cell_04,31.0,1.4317
cell_04,31.5,1.5595
cell_04,32.0,1.6295
cell_04,32.5,1.6919
cell_04,33.0,1.7284
cell_04,33.5,1.699
cell_04,34.0,1.7383
cell_04,34.5,1.7245
cell_04,35.0,1.7071
cell_04,35.5,1.7065
cell_04,36.0,1.7304
cell_04,36.5,1.688
cell_04,37.0,1.6434
cell_04,37.5,1.6454
cell_04,38.0,1.6409
cell_04,38.5,1.6105
cell_04,39.0,1.5724
cell_04,39.5,1.5379
cell_04,40.0,1.5448
cell_04,40.5,1.5192
cell_04,41.0,1.5102
cell_04,41.5,1.4865
cell_04,42.0,1.4768
cell_04,42.5,1.4276
cell_04,43.0,1.4477
cell_04,43.5,1.4088
cell_04,44.0,1.4304
cell_04,44.5,1.3596
cell_04,45.0,1.3931
cell_04,45.5,1.3478
cell_04,46.0,1.3167
cell_04,46.5,1.3064
cell_04,47.0,1.2964
cell_04,47.5,1.2985
cell_04,48.0,1.288
cell_04,48.5,1.2541
cell_04,49.0,1.2534
cell_04,49.5,1.2854
cell_04,50.0,1.2661
cell_04,50.5,1.2297
cell_04,51.0,1.2114
cell_04,51.5,1.2031
cell_04,52.0,1.2033
cell_04,52.5,1.1613
cell_04,53.0,1.1675
cell_04,53.5,1.1305
cell_04,54.0,1.1633
cell_04,54.5,1.16
cell_04,55.0,1.1295
cell_04,55.5,1.1629
cell_04,56.0,1.0994
cell_04,56.5,1.0873
cell_04,57.0,1.1141
cell_04,57.5,1.1237
cell_04,58.0,1.1298
cell_04,58.5,1.0806
cell_04,59.0,1.1051
cell_04,59.5,1.0767
cell_04,60.0,1.0682
cell_04,60.5,1.0837
cell_04,61.0,1.0736
cell_04,61.5,1.0238
cell_04,62.0,1.0797
cell_04,62.5,1.0728
cell_04,63.0,1.0279
cell_04,63.5,1.0436
cell_04,64.0,1.0411
cell_04,64.5,1.032
cell_04,65.0,1.0115
cell_04,65.5,1.005
cell_04,66.0,1.0139
cell_04,66.5,1.034
cell_04,67.0,1.0177
cell_04,67.5,0.9958
cell_04,68.0,1.0151
cell_04,68.5,0.9393
cell_04,69.0,1.016
cell_04,69.5,0.955
cell_04,70.0,0.9795
cell_04,70.5,0.9613
cell_04,71.0,0.9549
cell_04,71.5,1.0012
cell_04,72.0,0.9659
cell_04,72.5,0.9795
cell_04,73.0,0.9691
cell_04,73.5,0.9771
cell_04,74.0,0.9667
cell_04,74.5,0.9372
cell_04,75.0,0.9805
cell_04,75.5,0.9485
cell_04,76.0,0.9251
cell_04,76.5,0.9457
cell_04,77.0,0.9823
cell_04,77.5,0.9673
cell_04,78.0,0.9415
cell_04,78.5,0.9396
cell_04,79.0,0.9384
cell_04,79.5,0.9847
cell_04,80.0,0.9492
cell_04,80.5,0.9485
cell_04,81.0,0.959
cell_04,81.5,0.9417
cell_04,82.0,0.9303
cell_04,82.5,0.9301
cell_04,83.0,0.9313
cell_04,83.5,0.9306
cell_04,84.0,0.9446
cell_04,84.5,0.9299
cell_04,85.0,0.9423
cell_04,85.5,0.9249
cell_04,86.0,0.9269
cell_04,86.5,0.8843
cell_04,87.0,0.9415
cell_04,87.5,0.9291
cell_04,88.0,0.9412
cell_04,88.5,0.8623
cell_04,89.0,0.9611
cell_04,89.5,0.9156
cell_04,90.0,0.9397
cell_04,90.5,0.8959
cell_04,91.0,0.9281
cell_04,91.5,0.894
cell_04,92.0,0.9018
cell_04,92.5,0.9518
cell_04,93.0,0.909
cell_04,93.5,0.9165
cell_04,94.0,0.9288
cell_04,94.5,0.9207
cell_04,95.0,0.9132
cell_04,95.5,0.9168
cell_04,96.0,0.957
cell_04,96.5,0.9072
cell_04,97.0,0.9118
cell_04,97.5,0.9283
cell_04,98.0,0.9288
cell_04,98.5,0.9299
cell_04,99.0,0.9185
cell_04,99.5,0.8824
cell_05,0.0,1.039
cell_05,0.5,1.1018
cell_05,1.0,1.0399
cell_05,1.5,1.0427
cell_05,2.0,1.0452
cell_05,2.5,1.1057
cell_05,3.0,1.0725
cell_05,3.5,0.4692
cell_05,4.0,1.0635
cell_05,4.5,1.0461
cell_05,5.0,1.0692
cell_05,5.5,1.0239
cell_05,6.0,1.0317
cell_05,6.5,1.0667
cell_05,7.0,1.0234
cell_05,7.5,1.0453
cell_05,8.0,1.0447
cell_05,8.5,1.0355
cell_05,9.0,1.0055
cell_05,9.5,1.0304
cell_05,10.0,1.025
cell_05,10.5,1.0432
cell_05,11.0,1.0407
cell_05,11.5,1.0445
cell_05,12.0,1.022
cell_05,12.5,1.0444
cell_05,13.0,1.0013
cell_05,13.5,0.9945
cell_05,14.0,0.9827
cell_05,14.5,1.018
cell_05,15.0,1.0114
cell_05,15.5,1.0407
cell_05,16.0,1.0104
cell_05,16.5,1.02355
cell_05,17.0,1.0367
cell_05,17.5,1.0052
cell_05,18.0,1.0233
cell_05,18.5,1.0359
cell_05,19.0,0.9896
cell_05,19.5,0.0862
cell_05,20.0,0.9977
cell_05,20.5,0.9864
cell_05,21.0,0.9776
cell_05,21.5,0.983
cell_05,22.0,1.0065
cell_05,22.5,0.9716
cell_05,23.0,0.9913
cell_05,23.5,1.0171
cell_05,24.0,1.0083
cell_05,24.5,0.9872
cell_05,25.0,1.0301
cell_05,25.5,1.0326
cell_05,26.0,0.9938
cell_05,26.5,0.9424
cell_05,27.0,1.008
cell_05,27.5,0.9429
cell_05,28.0,1.0168
cell_05,28.5,1.0074
cell_05,29.0,1.0197
cell_05,29.5,0.9879
cell_05,30.0,0.974
cell_05,30.5,1.0217
cell_05,31.0,1.056
cell_05,31.5,1.1125
cell_05,32.0,1.1254
cell_05,32.5,1.1259
cell_05,33.0,1.1169
cell_05,33.5,1.1882
cell_05,34.0,1.1556
cell_05,34.5,1.1051
cell_05,35.0,1.125
cell_05,35.5,1.1511
cell_05,36.0,1.1128
cell_05,36.5,1.1316
cell_05,37.0,1.1389
cell_05,37.5,1.0471
cell_05,38.0,1.0751
cell_05,38.5,1.1031
cell_05,39.0,1.0908
cell_05,39.5,1.0997
cell_05,40.0,1.1014
cell_05,40.5,1.0858
cell_05,41.0,1.0702
cell_05,41.5,1.0851
cell_05,42.0,1.0683
cell_05,42.5,1.0576
cell_05,43.0,1.031
cell_05,43.5,1.0211
cell_05,44.0,1.0209
cell_05,44.5,1.0484
cell_05,45.0,1.0366
cell_05,45.5,1.004
cell_05,46.0,1.0421
cell_05,46.5,1.0523
cell_05,47.0,1.0085
cell_05,47.5,0.9815
cell_05,48.0,0.998
cell_05,48.5,1.0252
cell_05,49.0,1.0151
cell_05,49.5,0.9818
cell_05,50.0,1.0268
cell_05,50.5,1.0196
cell_05,51.0,0.9742
cell_05,51.5,0.9704
cell_05,52.0,0.9699
cell_05,52.5,0.9681
cell_05,53.0,0.9938
cell_05,53.5,0.9799
cell_05,54.0,0.9856
cell_05,54.5,0.9782
cell_05,55.0,0.9958
cell_05,55.5,0.9372
cell_05,56.0,0.9628
cell_05,56.5,0.9087
cell_05,57.0,0.9228
cell_05,57.5,0.9446
cell_05,58.0,0.9516
cell_05,58.5,0.9383
cell_05,59.0,0.9261
cell_05,59.5,0.9268
cell_05,60.0,0.9592
cell_05,60.5,0.9214
cell_05,61.0,0.9614
cell_05,61.5,0.9396
cell_05,62.0,0.9303
cell_05,62.5,0.8946
cell_05,63.0,0.9347
cell_05,63.5,0.9035
cell_05,64.0,0.887
cell_05,64.5,0.9187
cell_05,65.0,1.9141
cell_05,65.5,0.8883
cell_05,66.0,0.901
cell_05,66.5,0.8919
cell_05,67.0,0.8828
cell_05,67.5,0.885
cell_05,68.0,0.9066
cell_05,68.5,0.8649
cell_05,69.0,0.8963
cell_05,69.5,0.9093
cell_05,70.0,0.8768
cell_05,70.5,0.9013
cell_05,71.0,0.8845
cell_05,71.5,0.8619
cell_05,72.0,0.8704
cell_05,72.5,0.8647
cell_05,73.0,0.8685
cell_05,73.5,0.8712
cell_05,74.0,0.8779
cell_05,74.5,0.8742
cell_05,75.0,0.8134
cell_05,75.5,0.8581
cell_05,76.0,0.8279
cell_05,76.5,0.8506
cell_05,77.0,0.8516
cell_05,77.5,0.8717
cell_05,78.0,0.8496
cell_05,78.5,0.8535
cell_05,79.0,0.8623
cell_05,79.5,0.8691
cell_05,80.0,0.8402
cell_05,80.5,0.8427
cell_05,81.0,0.8391
cell_05,81.5,0.8262
cell_05,82.0,0.8198
cell_05,82.5,0.7879
cell_05,83.0,0.81
cell_05,83.5,0.7942
cell_05,84.0,0.8531
cell_05,84.5,0.8299
cell_05,85.0,0.8190500000000001
cell_05,85.5,0.8082
cell_05,86.0,0.8214
cell_05,86.5,0.8021
cell_05,87.0,0.8208
cell_05,87.5,0.8205
cell_05,88.0,0.8075
cell_05,88.5,0.7945
cell_05,89.0,0.8296
cell_05,89.5,0.8076
cell_05,90.0,0.7913
cell_05,90.5,0.7978
cell_05,91.0,0.7833
cell_05,91.5,0.8005
cell_05,92.0,0.8168
cell_05,92.5,0.7979
cell_05,93.0,0.8441
cell_05,93.5,0.8035
cell_05,94.0,0.798
cell_05,94.5,0.7736
cell_05,95.0,0.7854
cell_05,95.5,0.7729
cell_05,96.0,0.7435
cell_05,96.5,0.8047
cell_05,97.0,0.7733
cell_05,97.5,0.7667
cell_05,98.0,0.7845
cell_05,98.5,0.7889
cell_05,99.0,0.7706
cell_05,99.5,0.7753
cell_06,0.0,0.9192
cell_06,0.5,0.9284
